order_id,customer_id,product_id,review_score,product_category_name,order_status,customer_city,customer_state,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,price,freight_value,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,customer_zip_code_prefix
7659a1c749ab19031d8e957692aa114d,c928b72c35f8bc9e32b8c6eea3160af2,f1f0860095cfa6521eb73bd997599888,1.0,moveis_escritorio,delivered,sao paulo,SP,2018-05-06 10:32:39,2018-05-06 10:53:04,2018-05-08 19:02:00,2018-05-09 23:25:34,2018-05-21 00:00:00,299.9,34.87,Quero devolver meu produt,Veio faltando não era o que eu queria quero devolver,2018-05-10 00:00:00,2018-05-12 17:43:28,1.0,15200.0,58.0,28.0,58.0,3032
a46f6e08416c5d6fbc2134ed61c9e58b,2e4296c24612c218d6e2fe370f0a3c61,c73628b1c3144b2e0c9c88072f21a213,2.0,automotivo,delivered,maua,SP,2017-06-06 23:18:10,2017-06-06 23:25:11,2017-06-08 15:11:24,2017-06-11 10:33:58,2017-06-20 00:00:00,99.0,9.51,,,2017-06-12 00:00:00,2017-06-13 08:35:38,2.0,850.0,20.0,9.0,14.0,9390
880818864a5b124a7e8784b03caa1d84,01571872abf22fe5f1be95d63d768575,6413f7a28e149a324c4a914000399fb2,,cool_stuff,delivered,uberaba,MG,2017-09-16 18:16:20,2017-09-16 18:30:10,2017-09-18 21:10:35,2017-09-21 18:04:23,2017-10-05 00:00:00,149.99,18.3,,,,,1.0,975.0,37.0,31.0,17.0,38057
b24b30b2680c0388fd18c9175271a8cb,7df1cd17dbbeae3711371434fb3f1531,72c4ed817b3980cf86101f5fa7b234f7,5.0,esporte_lazer,delivered,sao paulo,SP,2017-08-24 16:36:58,2017-08-25 15:05:40,2017-08-31 21:26:31,2017-09-01 17:27:47,2017-09-06 00:00:00,31.99,7.78,,gosto de comprar neste sait fico satifeita e acho que é mais barato que os outros.,2017-09-02 00:00:00,2017-09-06 13:35:41,1.0,200.0,16.0,10.0,20.0,8371
0372d2e3d0ac2600aa8e08e6c46cb7dc,cf9d02b5881ac8b8c6c2c5d4be462589,7c1bd920dbdf22470b68bde975dd3ccf,5.0,beleza_saude,delivered,cianorte,PR,2017-10-02 12:47:27,2017-10-02 13:24:27,2017-10-03 17:25:54,2017-10-06 18:42:10,2017-10-27 00:00:00,58.99,17.66,,,2017-10-07 00:00:00,2017-10-08 13:24:03,2.0,200.0,22.0,10.0,18.0,87203
43cf2ad64d9ba181030a47b6a7cad49f,9848fbc1dfe5dd0a731691354340178e,d1c427060a0f73f6b889a5c7c61f2ac4,5.0,informatica_acessorios,delivered,salvador,BA,2018-06-12 11:15:16,2018-06-12 11:40:00,2018-06-12 13:06:00,2018-06-20 23:36:31,2018-07-11 00:00:00,109.99,64.14,*****,,2018-06-21 00:00:00,2018-06-22 10:54:27,1.0,6550.0,20.0,20.0,20.0,41820
a3316b63c1f065d129b524f658cce198,5c14e1a67adfe167ba191f7e45311de9,656e0eca68dcecf6a31b8ececfabe3e8,,informatica_acessorios,delivered,tubarao,SC,2018-02-17 19:47:52,2018-02-20 07:46:10,2018-02-22 02:56:48,2018-03-14 18:44:34,2018-03-20 00:00:00,84.0,15.34,,,,,1.0,173.0,18.0,13.0,12.0,88705
9ad9270de3bd98ce09213f047dc7a16d,fe12c203c95f0465d6ede6d584c40b81,b06f8079f1110e9edb2be867f2296544,5.0,eletronicos,delivered,belem,PA,2018-04-27 22:15:18,2018-04-28 15:55:14,2018-05-02 16:03:00,2018-05-24 19:38:49,2018-06-01 00:00:00,145.99,34.18,Bom,O produto foi entregue conforme o combinado.,2018-05-25 00:00:00,2018-05-26 02:41:31,4.0,150.0,17.0,7.0,17.0,66083
a39d3db795a5cf4c8b6c9dd050f0d326,ec66df2cb66dfda07c03050470e21f69,baeb8e1a680cf9e1f13557d74b6cec3d,1.0,ferramentas_jardim,canceled,santo andre,SP,2017-03-13 16:12:24,2017-03-13 16:12:24,,,2017-03-30 00:00:00,129.99,16.02,,"Comprei o produto e não foi entregue, o prazo de entrega era até dia 30/03/17, liguei pra fazer a reclamação, e ficaram de me retornar a ligação e até hoje dia 03/04/2017 não entraram em contato! ",2017-04-01 00:00:00,2017-04-03 12:49:21,3.0,2400.0,31.0,28.0,15.0,9050
5923263d49d190dc167b702f6dfc0c4d,d15ea99185ee0b8f6bd7de88a8ee9444,6987398dff454a3138231540e2a6ec61,4.0,informatica_acessorios,delivered,sao paulo,SP,2017-08-25 13:38:17,2017-08-29 05:32:51,2017-09-01 13:58:46,2017-09-04 17:57:55,2017-09-28 00:00:00,144.0,18.26,,,2017-09-14 00:00:00,2017-09-15 12:01:31,1.0,1033.0,31.0,17.0,22.0,5007
